All	HP:0000001
Middle ear malformation	HP:0008609
Morphological abnormality of the middle ear	HP:0008609
Infantile sensorineural hearing impairment	HP:0008610
Infantile sensorineural hearing loss	HP:0008610
Adult onset sensorineural hearing impairment	HP:0008615
Late sensorineural hearing loss	HP:0008615
Sensorineural deafness, late-onset	HP:0008615
Bilateral sensorineural hearing impairment	HP:0008619
Bilateral sensorineural deafness	HP:0008619
Bilateral nerve deafness	HP:0008619
Bilateral sensorineural hearing loss	HP:0008619
Hearing loss, sensorineural, bilateral	HP:0008619
Severe sensorineural hearing impairment	HP:0008625
Severe sensorineural deafness	HP:0008625
Severe sensorineural hearing loss	HP:0008625
Abnormality of the stapes	HP:0008628
Stapedial abnormalities	HP:0008628
Pulsatile tinnitus	HP:0008629
Ureteral dysgenesis	HP:0008631
Agonadism	HP:0008633
Gonadal agenesis	HP:0008633
Absent gonadal tissue	HP:0008633
Hypertrophy of the urinary bladder	HP:0008635
Hypertrophic urinary bladder	HP:0008635
Lobular glomerulopathy	HP:0008636
Gonadal hypoplasia	HP:0008639
Underdeveloped gonad	HP:0008639
Congenital macroorchidism	HP:0008640
Nephroblastomatosis	HP:0008643
Pubertal developmental failure in females	HP:0008647
Anteriorly displaced urethral meatus	HP:0008648
Uric acid urolithiasis independent of gout	HP:0008651
Autonomic erectile dysfunction	HP:0008652
Impotence due to autonomic dysfunction	HP:0008652
Crescentic glomerulonephritis	HP:0008653
Aplasia/Hypoplasia of the fallopian tube	HP:0008655
Absent/underdeveloped fallopian tube	HP:0008655
Absent/small fallopian tube	HP:0008655
Absent or rudimentary fallopian tubes	HP:0008655
Incomplete male pseudohermaphroditism	HP:0008656
Multiple small medullary renal cysts	HP:0008659
Medullary cystic disease	HP:0008659
Medullary sponge kidney disease	HP:0008659
Renotubular dysgenesis	HP:0008660
Renal tubular dysgenesis	HP:0008660
Urethral stenosis	HP:0008661
Narrowing of the urethra	HP:0008661
Renal sarcoma	HP:0008663
Urethral sphincter sclerosis	HP:0008664
Clitoral hypertrophy	HP:0008665
Clitoromegaly	HP:0008665
Hypertrophic clitoris	HP:0008665
Clitoral enlargement	HP:0008665
Enlarged clitoris	HP:0008665
Prominent clitoris	HP:0008665
Impaired histidine renal tubular absorption	HP:0008666
Gonadal dysgenesis, male	HP:0008668
46,xy gonadal dysgenesis	HP:0008668
Abnormal spermatogenesis	HP:0008669
Abnormal sperm development	HP:0008669
Impaired spermatogenesis	HP:0008669
Partial vaginal septum	HP:0008670
Calcium oxalate nephrolithiasis	HP:0008672
Calcium oxalate kidney stones	HP:0008672
Ca oxalate nephrolithiasis	HP:0008672
Ca oxalate kidney stone	HP:0008672
Oxalate nephrolithiasis	HP:0008672
Calcium oxalate urolithiasis	HP:0008672
Ca oxalate urolithiasis	HP:0008672
Ca2+ oxalate urolithiasis	HP:0008672
Ca2+ oxalate kidney stone	HP:0008672
Ca2+ oxalate nephrolithiasis	HP:0008672
Enlarged polycystic ovaries	HP:0008675
Enlarged ovaries with cysts	HP:0008675
Congenital megaureter	HP:0008676
Congenital megaloureter	HP:0008676
Congenital nephrotic syndrome	HP:0008677
Congenital nephrosis	HP:0008677
Renal hypoplasia/aplasia	HP:0008678
Renal agenesis/hypoplasia	HP:0008678
Absent/small kidney	HP:0008678
Renal aplasia/hypoplasia	HP:0008678
Absent/underdeveloped kidney	HP:0008678
Renal tubular epithelial necrosis	HP:0008682
Renal tubular necrosis	HP:0008682
Acute tubular necrosis	HP:0008682
Enlarged labia minora	HP:0008683
Labia minora hypertrophy	HP:0008683
Hypertrophic labia minora	HP:0008683
Aplasia/hypoplasia of the uterus	HP:0008684
Absent/small uterus	HP:0008684
Absent/underdeveloped uterus	HP:0008684
Hypoplasia of the prostate	HP:0008687
Underdeveloped prostate	HP:0008687
Hypoplastic prostate	HP:0008687
Bilateral cryptorchidism	HP:0008689
Cryptorchidism, bilateral	HP:0008689
Solitary bladder diverticulum	HP:0008691
obsolete Hypertrophic labia minora	HP:0008694
Transient nephrotic syndrome	HP:0008695
Transient nephrosis	HP:0008695
Renal hamartoma	HP:0008696
Hypoplasia of the fallopian tube	HP:0008697
Underdeveloped fallopian tube	HP:0008697
Rudimentary fallopian tubes	HP:0008697
Absent internal genitalia	HP:0008702
Gonadal calcification	HP:0008703
Ureteral triplication	HP:0008705
Distal urethral duplication	HP:0008706
Absent scrotum	HP:0008707
Absent scrotum	HP:0008707
Partial development of the penile shaft	HP:0008708
Benign prostatic hyperplasia	HP:0008711
Benign prostatic hypertrophy	HP:0008711
Ureterovesical stenosis	HP:0008714
Testicular dysgenesis	HP:0008715
Urethrovaginal fistula	HP:0008716
Urethrovaginal fistulae	HP:0008716
Unilateral renal atrophy	HP:0008717
Kidney degeneration on one side	HP:0008717
Unilateral kidney wasting	HP:0008717
Unilateral renal dysplasia	HP:0008718
Primary testicular failure	HP:0008720
Urethral diverticulum	HP:0008722
Gonadal dysgenesis with female appearance, male	HP:0008723
Xy female gonadal dysgenesis	HP:0008723
Hypoplasia of the ovary	HP:0008724
Hypoplastic ovary	HP:0008724
Underdeveloped ovary	HP:0008724
Hypoplasia of the vagina	HP:0008726
Underdeveloped vagina	HP:0008726
Hypoplastic vagina	HP:0008726
Rudimentary vagina	HP:0008726
Absence of labia majora	HP:0008729
Absent vaginal lips	HP:0008729
Female external genitalia in individual with 46,XY karyotype	HP:0008730
Males with female external genitalia	HP:0008730
Renal hypophosphatemia	HP:0008732
Dysplastic testes	HP:0008733
Decreased testicular size	HP:0008734
Small testes	HP:0008734
Testicular hypoplasia	HP:0008734
Decreased testicular size	HP:0008734
Hypoplastic testes	HP:0008734
Small testis	HP:0008734
Hypoplasia of penis	HP:0008736
Underdeveloped penis	HP:0008736
Partially duplicated kidney	HP:0008738
Partially duplicated kidney	HP:0008738
Labial pseudohypertrophy	HP:0008739
Longitudinal vaginal septum	HP:0008740
Vertical vaginal septum	HP:0008740
Prominent prostate median bar	HP:0008742
Coronal hypospadias	HP:0008743
Subcoronal hypospadias	HP:0008743
Abnormal aryepiglottic fold morphology	HP:0008744
Abnormal aryepiglottic folds	HP:0008744
Abnormality of the aryepiglottic fold	HP:0008744
Cartilaginous ossification of larynx	HP:0008747
Laryngeal hypoplasia	HP:0008749
Hypoplastic larynx	HP:0008749
Laryngeal atresia	HP:0008750
Laryngeal cleft	HP:0008751
Laryngotracheoesophageal cleft i	HP:0008751
Laryngotracheal cleft	HP:0008751
Laryngeal cartilage malformation	HP:0008752
Vocal impairment, severe, due to laryngeal cartilage abnormalities	HP:0008752
Aplasia of the epiglottis	HP:0008753
Absent epiglottis	HP:0008753
Laryngeal calcification	HP:0008754
Laryngeal calcifications	HP:0008754
Laryngotracheomalacia	HP:0008755
Bowing of the vocal cords	HP:0008756
Unilateral vocal cord paralysis	HP:0008757
Unilateral paralysis of the vocal cord	HP:0008757
Violent behavior	HP:0008760
Violent behavior	HP:0008760
Violent behaviour	HP:0008760
Repetitive compulsive behavior	HP:0008762
Repetitive compulsive behavior	HP:0008762
Repetitive compulsive behaviour	HP:0008762
No social interaction	HP:0008763
No social interaction	HP:0008763
Auditory hallucinations	HP:0008765
Hearing sounds	HP:0008765
Hallucinations of sound	HP:0008765
Self-mutilation of tongue and lips due to involuntary movements	HP:0008767
Self-mutilation of tongue and lips due to involuntary movements	HP:0008767
Inappropriate sexual behavior	HP:0008768
Inappropriate sexual behavior	HP:0008768
Inappropriate sexual behaviour	HP:0008768
Obsessive-compulsive trait	HP:0008770
Obsessive-compulsive traits	HP:0008770
Obsessive-compulsive trait	HP:0008770
Aplasia/Hypoplasia of the ear	HP:0008771
Absent/small ear	HP:0008771
Absent/underdeveloped ear	HP:0008771
Aplasia/Hypoplasia of the external ear	HP:0008772
Absent/underdeveloped external ear	HP:0008772
Absent/small external ear	HP:0008772
Aplasia/Hypoplasia of the middle ear	HP:0008773
Absent/small middle ear	HP:0008773
Middle ear hypoplasia/aplasia	HP:0008773
Hypoplastic/aplastic middle ear structures	HP:0008773
Absent/underdeveloped middle ear	HP:0008773
Aplasia/Hypoplasia of the inner ear	HP:0008774
Absent/small inner ear	HP:0008774
Absent/underdeveloped inner ear	HP:0008774
Abnormal prostate morphology	HP:0008775
Abnormality of the prostate	HP:0008775
Abnormal renal artery morphology	HP:0008776
Abnormal kidney artery	HP:0008776
Abnormality of the renal artery	HP:0008776
Abnormal vocal cord morphology	HP:0008777
Abnormality of the vocal cords	HP:0008777
Congenital bilateral hip dislocation	HP:0008780
Wide proximal femoral metaphysis	HP:0008783
Wide metaphysis of innermost thighbone	HP:0008783
Wide capital femoral epiphyses	HP:0008784
Wide end part of innermost thighbone	HP:0008784
Delayed ossification of pubic rami	HP:0008785
Iliac crest serration	HP:0008786
Lacy appearance of iliac crest	HP:0008786
Irregular lacy iliac crest	HP:0008786
Delayed pubic bone ossification	HP:0008788
Delayed mineralization of pubic bone	HP:0008788
Absent pubic ossification in infancy	HP:0008788
Delayed maturation fo pubic bone	HP:0008788
Cone-shaped capital femoral epiphysis	HP:0008789
Cone-shaped end part of innermost thighbone	HP:0008789
Dysplastic iliac wings	HP:0008794
Externally rotated hips	HP:0008796
Externally rotated hips	HP:0008796
Early ossification of capital femoral epiphyses	HP:0008797
Widened greater sciatic notch	HP:0008798
Widening of the sacrosciatic notch	HP:0008798
Widened sacrosciatic notch	HP:0008798
Limited hip movement	HP:0008800
Limited hip movement	HP:0008800
Hypoplasia of the lesser trochanter	HP:0008801
Lesser trochanter hypoplasia	HP:0008801
Hypoplasia of the femoral head	HP:0008802
Hypoplastic femoral head	HP:0008802
Small femoral heads	HP:0008802
Small head of thigh bone	HP:0008802
obsolete Narrow sacroiliac notch	HP:0008803
Broad femoral head	HP:0008804
Wide head of thigh bone	HP:0008804
Acetabular dysplasia	HP:0008807
Dysplastic acetabulae	HP:0008807
High iliac wings	HP:0008808
Narrow, high iliac wings	HP:0008808
Flattened femoral head	HP:0008812
Flattened femoral heads	HP:0008812
Flat head of thigh bone	HP:0008812
Aplastic pubic bones	HP:0008817
Absent pubic bones	HP:0008817
Large iliac wings	HP:0008818
Narrow femoral neck	HP:0008819
Narrow femoral necks	HP:0008819
Narrow neck of thigh bone	HP:0008819
Absent ossification of capital femoral epiphysis	HP:0008820
Absent ossification of femoral capital epiphyses	HP:0008820
Hypoplastic inferior ilia	HP:0008821
Hypoplastic ischiopubic rami	HP:0008822
Hypoplastic inferior pubic rami	HP:0008823
Hypoplastic iliac body	HP:0008824
Hypoplastic iliac bodies	HP:0008824
Small iliac bodies	HP:0008824
Dislocation of the femoral head	HP:0008826
Dislocated femoral heads	HP:0008826
Dislocated head of thigh bone	HP:0008826
Delayed proximal femoral epiphyseal ossification	HP:0008828
Delayed ossification of the proximal femoral epiphysis	HP:0008828
Delayed ossification proximal femoral epiphyses	HP:0008828
Delayed femoral head ossification	HP:0008829
Delayed maturation of the head of the thigh bone	HP:0008829
Hypoplastic pubic rami	HP:0008830
Irregular acetabular roof	HP:0008833
Multicentric femoral head ossification	HP:0008835
Stippled calcification proximal humeral epiphyses	HP:0008838
Speckled calcifications in end part of innermost long bone of upper arm	HP:0008838
Hypoplastic pelvis	HP:0008839
Small pelvis	HP:0008839
Hypoplastic pelvic bones	HP:0008839
Hip osteoarthritis	HP:0008843
Osteoarthritis of hip	HP:0008843
Mesomelic short stature	HP:0008845
Dwarfism, short limb mesomelic	HP:0008845
Short stature, disproportionate mesomelic	HP:0008845
Short stature, mesomelic	HP:0008845
Mesomelic dwarfism	HP:0008845
Severe intrauterine growth retardation	HP:0008846
Intrauterine growth retardation, severe	HP:0008846
Severe prenatal growth deficiency	HP:0008846
Moderately short stature	HP:0008848
Moderate short stature	HP:0008848
Short stature, moderate	HP:0008848
Severe postnatal growth retardation	HP:0008850
Severe postnatal growth deficiency	HP:0008850
Severe growth delay in children	HP:0008850
Marked growth retardation	HP:0008850
Severe postnatal growth failure	HP:0008850
Moderate postnatal growth retardation	HP:0008855
Moderate growth delay in children	HP:0008855
Neonatal short-trunk short stature	HP:0008857
Short-trunk dwarfism identifiable at birth	HP:0008857
Failure to thrive secondary to recurrent infections	HP:0008866
Faltering weight secondary to recurrent infections	HP:0008866
Weight faltering secondary to recurrent infections	HP:0008866
Feeding difficulties in infancy	HP:0008872
Disproportionate short-limb short stature	HP:0008873
Short-limbed dwarfism	HP:0008873
Short limb dwarfism	HP:0008873
Short-limb dwarfism	HP:0008873
Disproportionate short limb dwarfism	HP:0008873
Brachymelic dwarfism	HP:0008873
Dwarfism, short-limbed	HP:0008873
Short limb dwarfism, disproportionate	HP:0008873
Short stature, disproportionate short limb	HP:0008873
Micromelic dwarfism	HP:0008873
Short stature, disproportionate short-limb	HP:0008873
Mild intrauterine growth retardation	HP:0008883
Mild prenatal growth deficiency	HP:0008883
Adipose tissue loss	HP:0008887
Loss of fat tissue	HP:0008887
Severe short-limb dwarfism	HP:0008890
Postnatal growth retardation	HP:0008897
Growth retardation as children	HP:0008897
Growth delay as children	HP:0008897
Postnatal growth deficiency	HP:0008897
Postnatal growth deceleration	HP:0008897
Postnatal growth failure	HP:0008897
Rhizomelia	HP:0008905
Rhizomelic short stature	HP:0008905
Disproportionately short upper portion of limb	HP:0008905
Symmetrical rhizomelic limb shortening	HP:0008905
Rhizomelic shortening	HP:0008905
Short stature, rhizomelic	HP:0008905
Rhizomelic dwarfism	HP:0008905
Rhizomelic limb shortening	HP:0008905
Rhizomelic short limbs	HP:0008905
Lethal short-limbed short stature	HP:0008909
Lethal short-limbed dwarfism	HP:0008909
Lethal micromelic dwarfism	HP:0008909
Childhood-onset truncal obesity	HP:0008915
Truncal obesity apparent in childhood	HP:0008915
Neonatal short-limb short stature	HP:0008921
Dwarfism, neonatal short-limbed	HP:0008921
Short-limb dwarfism identifiable at birth	HP:0008921
Short-limb dwarfism identifiable neonatally	HP:0008921
Short-limbed dwarfism identifiable at birth	HP:0008921
Short limb dwarfism recognizable at birth	HP:0008921
Neonatal short-limbed dwarfism	HP:0008921
Childhood-onset short-trunk short stature	HP:0008922
Disproportionate short-trunk short stature, identifiable in childhood	HP:0008922
Childhood-onset short-trunk short stature	HP:0008922
Short-trunk dwarfism identifiable during childhood	HP:0008922
Asymmetric short stature	HP:0008929
Generalized neonatal hypotonia	HP:0008935
Generalised neonatal hypotonia	HP:0008935
Hypotonia, neonatal, generalized	HP:0008935
Generalized low muscle tone in neonate	HP:0008935
Muscular hypotonia of the trunk	HP:0008936
Axial hypotonia	HP:0008936
Truncal hypotonia	HP:0008936
Low muscle tone in trunk	HP:0008936
Generalized lymphadenopathy	HP:0008940
Swollen lymph nodes affecting all regions of the body	HP:0008940
Generalized swelling of lymph nodes	HP:0008940
Generalised lymphadenopathy	HP:0008940
Acute rhabdomyolysis	HP:0008942
Rhabdomyolysis, acute	HP:0008942
Distal lower limb amyotrophy	HP:0008944
Lower limb degeneration	HP:0008944
Lower leg amyotrophy	HP:0008944
Lower limb muscle hypotrophy	HP:0008944
Lower limb atrophy	HP:0008944
Muscle atrophy, lower limb, distal	HP:0008944
Loss of ability to walk in early childhood	HP:0008945
Pelvic girdle amyotrophy	HP:0008946
Hip girdle amyotrophy	HP:0008946
Infantile muscular hypotonia	HP:0008947
Hypotonia in infancy	HP:0008947
Decreased muscle tone in infant	HP:0008947
Hypotonia early	HP:0008947
Infantile hypotonia	HP:0008947
Hypotonia, early	HP:0008947
Proximal upper limb amyotrophy	HP:0008948
Proximal upper limb muscle atrophy	HP:0008948
Proximal muscle atrophy in upper limbs	HP:0008948
Shoulder muscle hypoplasia	HP:0008952
Underdeveloped shoulder muscle	HP:0008952
Pectoralis major hypoplasia	HP:0008953
Pectoralis major muscle hypoplasia	HP:0008953
Intrinsic hand muscle atrophy	HP:0008954
Progressive distal muscular atrophy	HP:0008955
Proximal lower limb amyotrophy	HP:0008956
Amyotrophy involving the thigh	HP:0008956
Proximal lower limb muscle atrophy	HP:0008956
Thigh muscle atrophy	HP:0008956
Wasting of thigh muscle	HP:0008956
Amyotrophy of the thigh musculature	HP:0008956
Distal upper limb muscle weakness	HP:0008959
Calf muscle hypoplasia	HP:0008962
Hypoplastic calf muscles	HP:0008962
Underdeveloped calf muscles	HP:0008962
Tibialis muscle weakness	HP:0008963
Nonprogressive muscular atrophy	HP:0008964
Exercise-induced muscle stiffness	HP:0008967
Exercise-induced muscle stiffness	HP:0008967
Muscle stiffness with exercise	HP:0008967
Muscle stiffness, exercise-induced	HP:0008967
Muscle hypertrophy of the lower extremities	HP:0008968
Leg muscle stiffness	HP:0008969
Scapulohumeral muscular dystrophy	HP:0008970
Decreased activity of mitochondrial respiratory chain	HP:0008972
Decreased activities of mitochondrial-encoded respiratory chain complexes	HP:0008972
Decreased activity of mitochondrial respiratory complexes	HP:0008972
Necrotizing myopathy	HP:0008978
Calf muscle hypertrophy	HP:0008981
Calf hypertrophy	HP:0008981
Increased size of calf muscles	HP:0008981
Muscular hypertrophy of the calf muscles	HP:0008981
Neck muscle hypoplasia	HP:0008984
Decreased size of neck muscle	HP:0008984
Deficiency of neck muscle	HP:0008984
Small neck muscle	HP:0008984
Hypotrophic neck muscle	HP:0008984
Underdevelopment of neck muscle	HP:0008984
Increased intramuscular fat	HP:0008985
Increased intramuscular fat	HP:0008985
Increased IM fat	HP:0008985
Agenesis of the diaphragm	HP:0008986
Absent diaphragm	HP:0008986
Agenesis of diaphragm	HP:0008986
Pelvic girdle muscle atrophy	HP:0008988
Pelvic girdle muscle wasting	HP:0008988
Exercise-induced leg cramps	HP:0008991
Increased intraabdominal fat	HP:0008993
Proximal muscle weakness in lower limbs	HP:0008994
Muscle weakness, proximal, lower limbs	HP:0008994
Proximal muscle weakness in upper limbs	HP:0008997
Pectoralis hypoplasia	HP:0008998
Underdeveloped pec muscle	HP:0008998
Hypoplastic pectoral muscle	HP:0008998
Small pec muscle	HP:0008998
Loss of truncal subcutaneous adipose tissue	HP:0009002
Loss of fat tissue in trunk	HP:0009002
Loss of subcutaneous truncal adipose tissue	HP:0009002
Loss of truncal adipose tissue	HP:0009002
Increased subcutaneous truncal adipose tissue	HP:0009003
Increased fat below the skin in trunk	HP:0009003
Hypoplasia of the musculature	HP:0009004
Poorly developed skeletal musculature	HP:0009004
Underdeveloped muscle	HP:0009004
Muscle hypoplasia	HP:0009004
Underdeveloped muscles	HP:0009004
Weakness of the intrinsic hand muscles	HP:0009005
Intrinsic hand muscle weakness	HP:0009005
Biceps hypoplasia	HP:0009007
Hypoplastic biceps	HP:0009007
Underdeveloped biceps	HP:0009007
Hypoplasia of serratus anterior muscle	HP:0009011
Congenital absence of gluteal muscles	HP:0009013
Upper limb muscle hypoplasia	HP:0009016
Underdevelopment of upper limb muscles	HP:0009016
Loss of gluteal subcutaneous adipose tissue	HP:0009017
Loss of fat tissue below the skin in gluts	HP:0009017
Progressive loss of facial adipose tissue	HP:0009019
Progressive loss of facial fat	HP:0009019
Facial fat wasting	HP:0009019
Progressive loss of facial subcutaneous adipose tissue	HP:0009019
Progressive loss of subcutaneous adipose tissue from face	HP:0009019
Facial fat atrophy	HP:0009019
Loss of subcutaneous adipose tissue from face, progressive	HP:0009019
Atrophy of facial adipose tissue	HP:0009019
Exercise-induced muscle fatigue	HP:0009020
Abdominal wall muscle weakness	HP:0009023
Lax abdominal musculature	HP:0009023
Increased connective tissue	HP:0009025
Hypoplasia of latissimus dorsi muscle	HP:0009026
Foot dorsiflexor weakness	HP:0009027
Foot drop	HP:0009027
Foot extensor weakness	HP:0009027
Footdrop	HP:0009027
Generalized weakness of limb muscles	HP:0009028
Generalised weakness of limb muscles	HP:0009028
Amyotrophy of ankle musculature	HP:0009031
Segmental spinal muscular atrophy	HP:0009037
Marked muscular hypertrophy	HP:0009042
obsolete Hypoplasia of deltoid muscle	HP:0009044
Exercise-induced rhabdomyolysis	HP:0009045
Rhabdomyolysis with exercise	HP:0009045
Difficulty running	HP:0009046
Difficulty running	HP:0009046
Peroneal muscle atrophy	HP:0009049
Peroneal atrophy	HP:0009049
Quadriceps muscle atrophy	HP:0009050
Wasting of quad muscles	HP:0009050
Increased muscle glycogen content	HP:0009051
Distal lower limb muscle weakness	HP:0009053
Distal muscle weakness in lower limbs	HP:0009053
Muscle weakness, lower limb, distal	HP:0009053
Scapuloperoneal myopathy	HP:0009054
Generalized limb muscle atrophy	HP:0009055
Generalized muscle wasting	HP:0009055
Generalized muscle atrophy, proximal and distal	HP:0009055
Generalised limb muscle atrophy	HP:0009055
Loss of subcutaneous adipose tissue from upper limbs	HP:0009056
Loss of fat tissue below the skin from upper limbs	HP:0009056
Increased muscle lipid content	HP:0009058
Fat deposits in muscle fibers	HP:0009058
Fat accumulation in muscle fibers	HP:0009058
Skeletal muscle lipid accumulation	HP:0009058
Muscle lipidosis	HP:0009058
Lipid accumulation in skeletal muscle	HP:0009058
Increased muscle lipid content	HP:0009058
Congenital generalized lipodystrophy	HP:0009059
Congenital generalised lipodystrophy	HP:0009059
Scapular muscle atrophy	HP:0009060
Infantile axial hypotonia	HP:0009062
Hypotonia, axial, in infancy	HP:0009062
Progressive distal muscle weakness	HP:0009063
Muscle weakness, distal, progressive	HP:0009063
Muscle weakness, progressive, distal	HP:0009063
Generalized lipodystrophy	HP:0009064
Generalised lipodystrophy	HP:0009064
Lipodystrophy, generalized	HP:0009064
Progressive spinal muscular atrophy	HP:0009067
Progressive spinal muscle wasting	HP:0009067
Progressive spinal muscle degeneration	HP:0009067
Lethal infantile mitochondrial myopathy	HP:0009069
Inflammatory myopathy	HP:0009071
Decreased Achilles reflex	HP:0009072
Hyporeflexia at ankle joints	HP:0009072
Progressive proximal muscle weakness	HP:0009073
Muscle weakness, progressive, proximal	HP:0009073
Weakness of long finger extensor muscles	HP:0009077
Midline notch of upper alveolar ridge	HP:0009084
Midline notch of upper gum ridge	HP:0009084
Midline cleft of maxillary alveolar process	HP:0009084
Midline notch of maxillary alveolar ridge	HP:0009084
Midline cleft of upper alveolar ridge	HP:0009084
Midline notch of maxillary alveolar process	HP:0009084
Alveolar ridge overgrowth	HP:0009085
Overgrowth of alveolar ridge	HP:0009085
Hypertrophied alveolar ridge	HP:0009085
Hyperplasia of alveolar ridge	HP:0009085
Increased size of gum ridge	HP:0009085
Thickened alveolar ridges	HP:0009085
Enlarged alveolar ridge	HP:0009085
Thick alveolar ridges	HP:0009085
Overgrowth of gum ridge	HP:0009085
Alveolar ridge excess	HP:0009085
Increased size of alveolar ridge	HP:0009085
Hyperplasia of alveolar process of jaw	HP:0009085
Posteriorly placed tongue	HP:0009087
Posteriorly placed tongue	HP:0009087
Speech articulation difficulties	HP:0009088
obsolete Facial diplegic appearance	HP:0009090
Progressive alveolar ridge hypertropy	HP:0009092
Progressive hypertrophy of alveolar process of jaw	HP:0009092
Increasing size of gum ridge	HP:0009092
Increasing overgrowth of gum ridge	HP:0009092
Cleft lower alveolar ridge	HP:0009094
Cleft of mandibular alveolar process	HP:0009094
Notch of mandibular alveolar process	HP:0009094
Notch of mandibular alveolar ridge	HP:0009094
Notch of lower alveolar ridge	HP:0009094
Cleft of lower gingiva	HP:0009094
Notch of lower gum ridge	HP:0009094
Cleft of lower gum ridge	HP:0009094
Cleft of lower alveolar process	HP:0009094
Cleft of mandibular gingiva	HP:0009094
Notch of lower alveolar process	HP:0009094
Chronic oral candidiasis	HP:0009098
Chronic oral thrush	HP:0009098
Median cleft palate	HP:0009099
Central cleft palate	HP:0009099
Midline cleft palate	HP:0009099
Thick anterior alveolar ridges	HP:0009100
Thick anterior alveolar process of jaw	HP:0009100
Submucous cleft lip	HP:0009101
Submucous labial cleft	HP:0009101
Anterior open-bite malocclusion	HP:0009102
Anterior open bite between upper and lower teeth	HP:0009102
Absence of overlap of anterior upper and lower teeth	HP:0009102
Anterior openbite	HP:0009102
AOB	HP:0009102
Apertognathia malocclusion	HP:0009102
Gap between upper and lower front teeth when biting	HP:0009102
Anterior open bite	HP:0009102
Aplasia/Hypoplasia involving the pelvis	HP:0009103
Absent/small pelvis	HP:0009103
Absent/underdeveloped pelvis	HP:0009103
Aplasia/Hypoplasia of the pubic bone	HP:0009104
Absent/underdeveloped pubic bones	HP:0009104
Hypoplastic/aplastic pubic bones	HP:0009104
Absent/small pubic bones	HP:0009104
Abnormal ossification of the pubic bone	HP:0009105
Abnormal maturation of the pubic bone	HP:0009105
Abnormal pelvis bone ossification	HP:0009106
Abnormal maturation of the pelvis bone	HP:0009106
Abnormal ossification involving the bones of the pelvis	HP:0009106
Abnormal ossification involving the femoral head and neck	HP:0009107
Abnormal maturation of thigh bone head and neck	HP:0009107
Aplasia/Hypoplasia involving the femoral head and neck	HP:0009108
Absent/underdeveloped head and neck of thighbone	HP:0009108
Absent/small head and neck of thighbone	HP:0009108
Denervation of the diaphragm	HP:0009109
Diaphragmatic eventration	HP:0009110
Eventration of the diaphragm	HP:0009110
Aplasia of the left hemidiaphragm	HP:0009112
Left diaphragmatic hernia	HP:0009112
Absent left hemidiaphragm	HP:0009112
Diaphragmatic weakness	HP:0009113
Diaphragmatic paraparesis	HP:0009113
Weak diaphragm	HP:0009113
Diminished diaphragmatic motion	HP:0009113
Aplasia/hypoplasia involving the skeleton	HP:0009115
Absent/underdeveloped skeleton	HP:0009115
Absent/small skeleton	HP:0009115
Aplasia/Hypoplasia involving bones of the skull	HP:0009116
Aplasia/Hypoplasia of the maxilla	HP:0009117
Underdevelopment of maxilla	HP:0009117
Underdevelopment of upper jaw bones	HP:0009117
Aplasia/Hypoplasia of the mandible	HP:0009118
Aplasia/Hypoplasia of the frontal sinuses	HP:0009119
Abnormally small frontal sinus	HP:0009119
Aplasia/Hypoplasia involving the sinuses	HP:0009120
Abnormal axial skeleton morphology	HP:0009121
Abnormality of the axial skeleton	HP:0009121
Aplasia/hypoplasia affecting bones of the axial skeleton	HP:0009122
Mixed hypo- and hyperpigmentation of the skin	HP:0009123
Abnormal adipose tissue morphology	HP:0009124
Abnormality of fat tissue	HP:0009124
Abnormality of fatty tissue	HP:0009124
Abnormality of adipose tissue	HP:0009124
Lipodystrophy	HP:0009125
Inability to make and keep healthy fat tissue	HP:0009125
Increased adipose tissue	HP:0009126
Increased fat tissue	HP:0009126
Increased adipose tissue	HP:0009126
Abnormality of the musculature of the limbs	HP:0009127
Abnormal limb muscles	HP:0009127
Muscle issues in the arms and/or legs	HP:0009127
Aplasia/Hypoplasia involving the musculature of the extremities	HP:0009128
Absent/underdeveloped muscles of extremities	HP:0009128
Absent/small muscles of extremities	HP:0009128
Upper limb amyotrophy	HP:0009129
Amyotrophy involving the upper limbs	HP:0009129
Hand muscle atrophy	HP:0009130
Hand muscle degeneration	HP:0009130
Hand muscle wasting, bilateral	HP:0009130
Amyotrophy involving the musculature of the hand	HP:0009130
Amyotrophy of hand muscles	HP:0009130
Hand muscle wasting	HP:0009130
Abnormality of the musculature of the thorax	HP:0009131
Abnormal tarsal bone mineral density	HP:0009132
Abnormality of bone mineral density involving tarsal bones	HP:0009132
Osteolysis involving bones of the feet	HP:0009134
Duplication involving bones of the feet	HP:0009136
Duplication involving bones of the feet	HP:0009136
Synostosis involving bones of the lower limbs	HP:0009138
Fusion involving the bones of the lower limbs	HP:0009138
Osteolysis involving bones of the lower limbs	HP:0009139
Synostosis involving bones of the feet	HP:0009140
Fusion involving the bones of the feet	HP:0009140
Depletion of mitochondrial DNA in muscle tissue	HP:0009141
Depletion of mitochondrial dna in skeletal muscle tissue	HP:0009141
Duplication of bones involving the upper extremities	HP:0009142
Duplication of bones involving the upper extremities	HP:0009142
Supernumerary bones of the axial skeleton	HP:0009144
Abnormal cerebral artery morphology	HP:0009145
Abnormality of the cerebral arteries	HP:0009145
Abnormality of cerebral artery	HP:0009145
Enlarged epiphysis of the distal phalanx of the 5th finger	HP:0009147
