Tous	HP:0000001
phalanges du 5ième doigt de forme triangulaire	HP:0009378
phalange distale de l'auriculaire en forme triangulaire ou rhomboïde	HP:0009379
aplasie des doigts	HP:0009380
doigts petits/hypoplasiques	HP:0009381
Absence des épiphyses de l'auriculaire	HP:0009382
pont épiphysaire de l'auriculaire	HP:0009383
épiphyses en forme de cône de l'auriculaire	HP:0009384
épiphyses de l'auriculaire élargies	HP:0009385
épiphyses du 5ième doigt élargies	HP:0009385
fragmentation épiphysaire de l'auriculaire	HP:0009386
épiphyses irrégulières de l'auriculaire	HP:0009387
épiphyses irrégulières du 5ième doigt	HP:0009387
épiphyses d'ivoire de l'auriculaire	HP:0009388
pseudo-épiphyses de l'auriculaire	HP:0009389
pseudo-épiphyse du petit doigt	HP:0009389
pseudo-épiphyse du 5ième doigt	HP:0009389
petites épiphyses de l'auriculaire	HP:0009390
petites épiphyses du 5ième doigt	HP:0009390
calcifications ponctuées de l'épiphyse de l'auriculaire	HP:0009391
épiphyses triangulaires de l'auriculaire	HP:0009392
Absence des épiphyses de l'annulaire	HP:0009393
pont épiphysaire de l'annulaire	HP:0009394
épiphyses en forme de cône de l'annulaire	HP:0009395
épiphyses de l'annulaire élargies	HP:0009396
épiphyses du 4ième doigt élargies	HP:0009396
fragmentation épiphysaire de l'annulaire	HP:0009397
épiphyses irrégulières de l'annulaire	HP:0009398
épiphyses irrégulières du 4ième doigt	HP:0009398
épiphyses d'ivoire de l'annulaire	HP:0009399
pseudo-épiphyses de l'annulaire	HP:0009400
pseudo-épiphyses du 4ième doigt	HP:0009400
petites épiphyses de l'annulaire	HP:0009401
petites épiphyses du 4ième doigt	HP:0009401
calcifications ponctuées de l'épiphyse de l'annulaire	HP:0009402
épiphyses triangulaires de l'annulaire	HP:0009403
phalanges de l'annulaire larges	HP:0009404
phalange de l'annulairel en forme de balle de fusil	HP:0009405
sclérose irrégulière des phalanges de l'annulaire	HP:0009406
sclérose irrégulière des phalanges du 4ème doigt	HP:0009406
phalanges de l'annulaire de forme triangulaire	HP:0009407
phalanges du 4ième doigt de forme triangulaire	HP:0009407
aplasie/hypoplasie des phalanges de l'annulaire	HP:0009408
aplasie/hypoplasie des phalanges du 4ième doigt	HP:0009408
aplasie/hypoplasie des phalanges du quatrième doigt	HP:0009408
Absence des épiphyses du majeur	HP:0009410
pont épiphysaire du majeur	HP:0009411
épiphyses en forme de cône du majeur	HP:0009412
épiphyses du majeur élargies	HP:0009413
épiphyses du 3ième doigt élargies	HP:0009413
fragmentation épiphysaire du majeur	HP:0009414
épiphyses irrégulières du majeur	HP:0009415
épiphyses irrégulières du 3ième doigt	HP:0009415
épiphyses d'ivoire du majeur	HP:0009416
pseudo-épiphyses du majeur	HP:0009417
pseudo-épiphyses du 3ième doigt	HP:0009417
petites épiphyses du majeur	HP:0009418
petites épiphyses du 3ième doigt	HP:0009418
calcifications ponctuées de l'épiphyse du majeur	HP:0009419
épiphyses triangulaires du majeur	HP:0009420
aplasie/hypoplasie de la troisième phalange du majeur	HP:0009421
aplasie/hypoplasie de la troisième phalange du troisième doigt	HP:0009421
aplasie/hypoplasie de la phalange distale du 3ième doigt	HP:0009421
aplasie/hypoplasie de la phalange distale du troisième doigt	HP:0009421
aplasie/hypoplasie de la troisième phalange du 3ième doigt	HP:0009421
Large phalange distale du majeur	HP:0009422
phalange distale du majeur en forme de balle de fusil	HP:0009423
phalange distale du 3ième doigt en forme de balle de fusil	HP:0009423
anomalies ostéolytiques de la phalange distale du majeur	HP:0009424
anomalies ostéolytiques de la phalange distale du 3ième doigt	HP:0009424
sclérose irrégulière de la phalange distale du majeur	HP:0009425
sclérose irrégulière de la phalange distale du 3ième doigt	HP:0009425
Symphalangisme affectant la phalange distale du majeur	HP:0009426
phalange distale du majeur de forme triangulaire	HP:0009427
phalange distale du 3ième doigt de forme triangulaire	HP:0009427
courbure de la phalange distale du majeur	HP:0009428
courbure de la phalange distale du 3ième doigt	HP:0009428
aplasie de la troisième phalange du majeur	HP:0009429
aplasie de la troisième phalange du troisième doigt	HP:0009429
aplasie de la phalange distale du troisième doigt	HP:0009429
aplasie de la phalange distale du 3ième doigt	HP:0009429
aplasie de la troisième phalange du 3ième doigt	HP:0009429
Deuxième phalange du majeur large	HP:0009430
phalange moyenne du majeur en forme de balle de fusil	HP:0009431
phalange moyenne du 3ième doigt en forme de balle de fusil	HP:0009431
courbure de la phalange moyenne du majeur	HP:0009432
courbure de la phalange moyenne du 3ième doigts	HP:0009432
anomalies ostéolytiques de la phalange moyenne du majeur	HP:0009433
anomalies ostéolytiques de la phalange moyenne du 3ième doigt	HP:0009433
sclérose irrégulière de la phalange moyenne du majeur	HP:0009434
sclérose irrégulière de la phalange moyenne du 3ème doigt	HP:0009434
Symphalangisme affectant la phalange moyenne du majeur	HP:0009435
phalange moyenne du majeur de forme triangulaire	HP:0009436
phalange moyenne du 3ième doigt de forme triangulaire	HP:0009436
aplasie/hypoplasie de la deuxième phalange du majeur	HP:0009437
aplasie/hypoplasie de la phalange intermédiaire du 3ième doigt	HP:0009437
aplasie/hypoplasie de la phalange intermédiaire du majeur	HP:0009437
aplasie/hypoplasie de la phalange intermédiaire du troisième doigt	HP:0009437
aplasie/hypoplasie de la deuxième phalange du 3ième doigt	HP:0009437
aplasie/hypoplasie de la deuxième phalange du troisième doigt	HP:0009437
Aplasie de la deuxième phalange du majeur	HP:0009438
Aplasie de la deuxième phalange du troisième doigt	HP:0009438
Aplasie de la deuxième phalange du 3ième doigt	HP:0009438
phalange moyenne du majeur petite/hypoplasique	HP:0009439
phalange moyenne du 3ième doigt petite/hypoplasique	HP:0009439
phalanges du majeur larges	HP:0009440
phalanges du 3ième doigt larges	HP:0009440
phalange du majeur en forme de balle de fusil	HP:0009441
courbure des phalanges du majeur	HP:0009442
courbure des phalanges du 3ième doigt	HP:0009442
anomalies ostéolytiques des phalanges du majeur	HP:0009443
anomalies ostéolytiques des phalanges du 3ième doigt	HP:0009443
sclérose irrégulière des phalanges du majeur	HP:0009444
sclérose irrégulière des phalanges du 3ème doigt	HP:0009444
Symphalangisme du majeur	HP:0009445
phalanges du majeur de forme triangulaire	HP:0009446
phalanges du 3ième doigt de forme triangulaire	HP:0009446
aplasie/hypoplasie des phalanges du majeur	HP:0009447
aplasie/hypoplasie des phalanges du 3ième doigt	HP:0009447
aplasie/hypoplasie des phalanges du troisième doigt	HP:0009447
aplasie des phalanges du majeur	HP:0009448
aplasie des phalanges du 3ième doigt	HP:0009448
aplasie des phalanges du troisième doigt	HP:0009448
phalanges du majeur petites/hypoplasiques	HP:0009449
phalanges du 3ième doigt petites/hypoplasiques	HP:0009449
phalange proximale du majeur large	HP:0009450
phalange proximale du 3ième doigt large	HP:0009450
phalange proximale du majeur en forme de balle de fusil	HP:0009451
courbure de la phalange proximale du majeur	HP:0009452
courbure de la phalange proximale du 3ième doigt	HP:0009452
anomalies ostéolytiques de la phalange proximale du majeur	HP:0009453
anomalies ostéolytiques de la phalange proximale du 3ième doigt	HP:0009453
sclérose irrégulière des phalanges proximales du majeur	HP:0009454
sclérose irrégulière des phalanges proximales du 3ème doigt	HP:0009454
Symphalangisme affectant les phalanges proximales du majeur	HP:0009455
phalange proximale du majeur de forme triangulaire	HP:0009456
phalange proximale du 3ième doigt de forme triangulaire	HP:0009456
aplasie/hypoplasie de la première phalange du majeur	HP:0009457
aplasie/hypoplasie de la première phalange du 3ième doigt	HP:0009457
aplasie/hypoplasie de la phalange proximale du troisième doigt	HP:0009457
aplasie/hypoplasie de la phalange proximale du majeur	HP:0009457
aplasie/hypoplasie de la première phalange du troisième doigt	HP:0009457
aplasie/hypoplasie de la phalange proximale du 3ième doigt	HP:0009457
aplasie de la première phalange du majeur	HP:0009458
aplasie de la phalange proximale du 3ième doigt	HP:0009458
aplasie de la phalange proximale du troisième doigt	HP:0009458
aplasie de la phalange proximale du majeur	HP:0009458
aplasie de la première phalange du troisième doigt	HP:0009458
aplasie de la première phalange du 3ième doigt	HP:0009458
phalange proximale du majeur petite/hypoplasique	HP:0009459
phalange proximale du 3ième doigt petite/hypoplasique	HP:0009459
aplasie du majeur	HP:0009460
aplasie du troisième doigt	HP:0009460
aplasie du 3ième doigt	HP:0009460
majeur hypoplasique/petit	HP:0009461
3ième doigt hypoplasique/petit	HP:0009461
déviation radiale du majeur	HP:0009462
déviation radiale du 3ème doigt	HP:0009462
déviation cubitale du majeur	HP:0009463
déviation cubitale du 3ième doigt	HP:0009463
déviation ulnaire du 3ième doigt	HP:0009463
déviation ulnaire du majeur	HP:0009463
déviation cubitale de l'index	HP:0009464
déviation ulnaire du 2nd doigt	HP:0009464
déviation ulnaire de l'index	HP:0009464
déviation cubitale du 2nd doigt	HP:0009464
déviation cubitale des doigts	HP:0009465
doigts en coup de vent	HP:0009465
déviation ulnaire des doigts	HP:0009465
déviation radiale des doigts	HP:0009466
déviation radiale de l'index	HP:0009467
déviation radiale du 2nd doigt	HP:0009467
déviation de l'index	HP:0009468
déviation du 2nd doigt	HP:0009468
Contracture de l'articulation inter-phalangienne distale du majeur	HP:0009469
contracture de l'articulation métacarpophalangienne du majeur	HP:0009470
contracture de l'articulation métacarpophalangienne du 3ième doigt	HP:0009470
contracture de l'articulation interphalangienne proximale du majeur	HP:0009471
contracture de l'articulation interphalangienne proximale du 3ième doigt	HP:0009471
Contractures articulaires impliquant les articulations de la main	HP:0009473
symphalangisme des phalanges proximales et moyennes de l'annulaire	HP:0009477
symphalangisme des phalanges proximales et moyennes du 4ième doigt	HP:0009477
symphalangisme de la phalange proximale de l'annulaire avec le 4ième métacarpien	HP:0009478
symphalangisme de la phalange proximale du 4ième doigt avec le 4ième métacarpien	HP:0009478
symphalangisme des phalanges proximales et moyennes du majeur	HP:0009482
symphalangisme des phalanges proximales et moyennes du 3ième doigt	HP:0009482
symphalangisme de la phalange proximale du majeur avec le 3ième métacarpien	HP:0009483
symphalangisme de la phalange proximale du 3ième doigt avec le 3ième métacarpien	HP:0009483
déviation de la main ou des doigts de la main	HP:0009484
déviation radiale de la main ou des doigts de la main	HP:0009485
déviation radiale de la main	HP:0009486
déviation cubitale de la main	HP:0009487
déviation ulnaire de la main	HP:0009487
Absence des épiphyses de l'index	HP:0009488
pont épiphysaire de l'index	HP:0009489
épiphyses en forme de cône de l'index	HP:0009490
épiphyses de l'index élargies	HP:0009491
épiphyses du 2nd doigt élargies	HP:0009491
fragmentation épiphysaire de l'index	HP:0009492
épiphyses irrégulières de l'index	HP:0009493
épiphyses irrégulières du 2nd doigt	HP:0009493
épiphyses d'ivoire de l'index	HP:0009494
pseudo-épiphyses de l'index	HP:0009495
pseudo-épiphyses du 2nd doigt	HP:0009495
petites épiphyses de l'index	HP:0009496
petites épiphyses du 2nd doigt	HP:0009496
calcifications ponctuées de l'épiphyse de l'index	HP:0009497
épiphyses triangulaires de l'index	HP:0009498
anomalie des épiphyses de la troisième phalange de l'index	HP:0009499
anomalie des épiphyses de la troisième phalange du 2ième doigt	HP:0009499
anomalie des épiphyses de la phalange distale du deuxième doigt	HP:0009499
anomalie des épiphyses de la phalange distale du 2ième doigt	HP:0009499
anomalie des épiphyses de la troisième phalange du deuxième doigt	HP:0009499
anomalie des épiphyses de la deuxième phalange de l'index	HP:0009500
anomalie des épiphyses de la phalange intermédiaire du 2ième doigt	HP:0009500
anomalie des épiphyses de la phalange intermédiaire du deuxième doigt	HP:0009500
anomalie des épiphyses de la phalange intermédiaire de l'index	HP:0009500
anomalie des épiphyses de la deuxième phalange du 2ième doigt	HP:0009500
anomalie des épiphyses de la deuxième phalange du deuxième doigt	HP:0009500
anomalie des épiphyses de la première phalange de l'index	HP:0009501
anomalie des épiphyses de la première phalange du 2ième doigt	HP:0009501
anomalie des épiphyses de la première phalange du deuxième doigt	HP:0009501
Absence des épiphyses de la phalange distale de l'index	HP:0009502
pont épiphysaire de la phalange distale de l'index	HP:0009503
pont épiphysaire de la phalange distale du 2ième doigt	HP:0009503
pont épiphysaire de la phalange distale du 2nd doigt	HP:0009503
épiphyses en forme de cône de la phalange distale de l'index	HP:0009504
épiphyse élargie de la phalange distale de l'index	HP:0009505
épiphyses élargies de la phalange distale du 2nd doigt	HP:0009505
épiphyse élargie des phalanges distales du deuxième doigt	HP:0009505
Epiphyse élargie des phalanges distales de l'index	HP:0009505
fragmentation épiphysaire de la phalange distale de l'index	HP:0009506
épiphyse irrégulière de la phalange distale de l'index	HP:0009507
épiphyses irrégulières de la phalange distale de l'index	HP:0009507
épiphyse d'ivoire de la phalange distale de l'index	HP:0009508
pseudo-épiphyse de la phalange distale de l'index	HP:0009509
pseudo-épiphyse de la phalange distale du 2nd doigt	HP:0009509
petites épiphyses de la phalange distale de l'index	HP:0009510
petites épiphyses de la phalange distale du 2nd doigt	HP:0009510
calcifications ponctuées de l'épiphyse des phalanges distales de l'index	HP:0009511
épiphyse triangulaire de la phalange distale de l'index	HP:0009512
épiphyse triangulaire de la phalange distale du 2ième doigt	HP:0009512
épiphyse triangulaire de la phalange distale du 2nd doigt	HP:0009512
Absence des épiphyses de la deuxième phalange de l'index	HP:0009513
pont épiphysaire de la phalange moyenne de l'index	HP:0009514
pont épiphysaire de la phalange moyenne du 2ième doigt	HP:0009514
pont épiphysaire de la phalange moyenne du 2nd doigt	HP:0009514
épiphyses en forme de cône de la phalange moyenne de l'index	HP:0009515
épiphyse élargie de la phalange moyenne de l'index	HP:0009516
épiphyses élargies de la phalange moyenne du 2nd doigt	HP:0009516
fragmentation épiphysaire de la phalange moyenne de l'index	HP:0009517
épiphyse irrégulière de la phalange moyenne de l'index	HP:0009518
épiphyses irrégulières de la phalange moyenne du 2nd doigt	HP:0009518
épiphyse d'ivoire de la phalange moyenne de l'index	HP:0009519
pseudo-épiphyse de la phalange moyenne de l'index	HP:0009520
pseudo-épiphyse de la phalange moyenne du 2ième doigt	HP:0009520
petites épiphyses de la phalange moyenne de l'index	HP:0009521
petites épiphyses de la deuxième phalange du 2nd doigt	HP:0009521
petites épiphyses de la phalange moyenne du 2nd doigt	HP:0009521
calcifications ponctuées de l'épiphyse des phalanges moyennes du troisième orteil	HP:0009522
épiphyse triangulaire de la phalange moyenne de l'index	HP:0009523
épiphyse triangulaire de la phalange moyenne du 2ième doigt	HP:0009523
épiphyse triangulaire de la phalange moyenne du 2nd doigt	HP:0009523
Epiphyses absentes de la phalange proximale de l'index	HP:0009524
pont épiphysaire de la phalange proximale de l'index	HP:0009525
pont épiphysaire de la phalange proximale du 2ième doigt	HP:0009525
pont épiphysaire de la phalange proximale du 2nd doigt	HP:0009525
épiphyses en forme de cône de la phalange proximale de l'index	HP:0009526
épiphyse élargie de la phalange proximale de l'index	HP:0009527
épiphyses élargies de la phalange proximale du 2nd doigt	HP:0009527
fragmentation épiphysaire de la phalange proximale de l'index	HP:0009528
épiphyse irrégulière de la phalange proximale de l'index	HP:0009529
épiphyse irrégulière de la phalange proximale du 2nd doigt	HP:0009529
épiphyse d'ivoire de la phalange proximale de l'index	HP:0009530
pseudo-épiphyse de la phalange proximale de l'index	HP:0009531
pseudo-épiphyse de la phalange proximale du 2nd doigt	HP:0009531
petites épiphyses de la phalange proximale de l'index	HP:0009532
petites épiphyses de la phalange proximale du 2nd doigt	HP:0009532
calcifications ponctuées de l'épiphyse des phalanges proximales de l'index	HP:0009533
épiphyse triangulaire de la phalange proximale de l'index	HP:0009534
épiphyse triangulaire de la phalange proximale du 2nd doigt	HP:0009534
épiphyse triangulaire de la phalange proximale du 2ième doigt	HP:0009534
aplasie de l'index	HP:0009535
aplasie du 2nd doigt	HP:0009535
aplasie du 2ième doigt	HP:0009535
aplasie du deuxième doigt	HP:0009535
index hypoplasique/petit	HP:0009536
2nd doigt hypoplasique/petit	HP:0009536
contractures articulaires de l'index	HP:0009537
contractures articulaires du 2nd doigt	HP:0009537
Camptodactylie de l'index	HP:0009537
Contracture de l'articulation inter-phalangienne distale de l'index	HP:0009538
contracture de l'articulation métacarpophalangienne de l'index	HP:0009539
contracture de l'articulation métacarpophalangienne du 2nd doigt	HP:0009539
contracture de l'articulation interphalangienne proximale de l'index	HP:0009540
contracture de l'articulation interphalangienne proximale du 2nd doigt	HP:0009540
anomalie des phalanges de l'index	HP:0009541
anomalie des phalanges du 2ième doigt	HP:0009541
anomalie des phalanges du deuxième doigt	HP:0009541
anomalie de la troisième phalange de l'index	HP:0009542
anomalie de la phalange distale du 2ième doigt	HP:0009542
anomalie de la phalange distale du deuxième doigt	HP:0009542
anomalie de la troisième phalange du 2ième doigt	HP:0009542
anomalie de la troisième phalange du deuxième doigt	HP:0009542
anomalie de la phalange distale de l'index	HP:0009542
anomalie de la deuxième phalange de l'index	HP:0009543
anomalie de la deuxième phalange du 2ième doigt	HP:0009543
anomalie de la deuxième phalange du deuxième doigt	HP:0009543
anomalie de la première phalange de l'index	HP:0009544
anomalie de la première phalange du 2ième doigt	HP:0009544
anomalie de la première phalange du deuxième doigt	HP:0009544
Symphalangisme de l'index	HP:0009545
phalanges de l'index de forme triangulaire	HP:0009546
phalanges du 2nd doigt de forme triangulaire	HP:0009546
phalanges du 2ième doigt de forme triangulaire	HP:0009546
phalanges de l'index larges	HP:0009547
phalanges du 2ième doigt larges	HP:0009547
phalanges du 2nd doigt larges	HP:0009547
phalange de l'index en forme de balle de fusil	HP:0009548
courbure des phalanges de l'index	HP:0009549
courbure des phalanges du 2nd doigt	HP:0009549
anomalies ostéolytiques des phalanges de l'index	HP:0009550
anomalies ostéolytiques des phalanges du 2nd doigt	HP:0009550
anomalies ostéolytiques des phalanges du 2ième doigt	HP:0009550
sclérose irrégulière des phalanges de l'index	HP:0009551
sclérose irrégulière des phalanges du 2ème doigt	HP:0009551
sclérose irrégulière des phalanges du 2nd doigt	HP:0009551
aplasie/hypoplasie des phalanges de l'index	HP:0009552
aplasie/hypoplasie des phalanges du 2ième doigt	HP:0009552
aplasie/hypoplasie des phalanges du deuxième doigt	HP:0009552
anomalie de l'implantation des cheveux	HP:0009553
projection du cuir chevelu vers la joue latérale	HP:0009554
Hypoplasie du pharynx	HP:0009555
aplasie du tibia	HP:0009556
aplasie/hypoplasie de la troisième phalange de l'index	HP:0009557
aplasie/hypoplasie de la phalange distale du 2ième doigt	HP:0009557
aplasie/hypoplasie de la phalange distale de l'index	HP:0009557
aplasie/hypoplasie de la troisième phalange du deuxième doigt	HP:0009557
aplasie/hypoplasie de la troisième phalange du 2ième doigt	HP:0009557
aplasie/hypoplasie de la phalange distale du deuxième doigt	HP:0009557
Large phalange distale de l'index	HP:0009558
phalange distale de l'index en forme de balle de fusil	HP:0009559
phalange distale du 2ième doigt en forme de balle de fusil	HP:0009559
phalange distale du 2nd doigt en forme de balle de fusil	HP:0009559
courbure de la phalange distale de l'index	HP:0009560
courbure de la phalange distale du 2nd doigt	HP:0009560
anomalies ostéolytiques de la phalange distale de l'index	HP:0009561
anomalies ostéolytiques de la phalange distale du 2nd doigt	HP:0009561
anomalies ostéolytiques de la phalange distale du 2ième doigt	HP:0009561
sclérose irrégulière de la phalange distale de l'index	HP:0009562
sclérose irrégulière de la phalange distale du 2nd doigt	HP:0009562
Symphalangisme affectant la phalange distale de l'index	HP:0009563
phalange distale de l'index de forme triangulaire	HP:0009564
phalange distale du 2nd doigt de forme triangulaire	HP:0009564
phalange distale du 2ième doigt de forme triangulaire	HP:0009564
aplasie de la troisième phalange de l'index	HP:0009565
aplasie de la phalange distale du deuxième doigt	HP:0009565
aplasie de la troisième phalange du 2ième doigt	HP:0009565
aplasie de la troisième phalange du deuxième doigt	HP:0009565
aplasie de la phalange distale de l'index	HP:0009565
aplasie de la phalange distale du 2ième doigt	HP:0009565
phalange distale de l'index petite/hypoplasique	HP:0009566
phalange distale du 2nd doigt petite/hypoplasique	HP:0009566
aplasie/hypoplasie de la deuxième phalange de l'index	HP:0009568
aplasie/hypoplasie de la phalange intermédiaire du deuxième doigt	HP:0009568
aplasie/hypoplasie de la deuxième phalange du deuxième doigt	HP:0009568
aplasie/hypoplasie de la deuxième phalange du 2ième doigt	HP:0009568
aplasie/hypoplasie de la phalange intermédiaire du 2ième doigt	HP:0009568
aplasie/hypoplasie de la phalange intermédiaire de l'index	HP:0009568
Deuxième phalange de l'index large	HP:0009569
phalange moyenne de l'index en forme de balle de fusil	HP:0009570
phalange moyenne du 2nd doigt en forme de balle de fusil	HP:0009570
phalange moyenne du 2ième doigt en forme de balle de fusil	HP:0009570
courbure de la phalange moyenne de l'index	HP:0009571
courbure de la phalange moyenne du 2nd doigt	HP:0009571
anomalies ostéolytiques de la phalange moyenne de l'index	HP:0009572
anomalies ostéolytiques de la phalange moyenne du 2nd doigt	HP:0009572
anomalies ostéolytiques de la phalange moyenne du 2ième doigt	HP:0009572
sclérose irrégulière de la phalange moyenne de l'index	HP:0009573
sclérose irrégulière de la phalange moyenne du 2ième doigt	HP:0009573
sclérose irrégulière de la phalange moyenne du 2nd doigt	HP:0009573
phalange moyenne de l'index de forme triangulaire	HP:0009575
phalange moyenne du 2nd doigt de forme triangulaire	HP:0009575
phalange moyenne du 2ième doigt de forme triangulaire	HP:0009575
Aplasie de la deuxième phalange de l'index	HP:0009576
Aplasie de la deuxième phalange du deuxième doigt	HP:0009576
Aplasie de la deuxième phalange du 2ième doigt	HP:0009576
phalange moyenne de l'index petite/hypoplasique	HP:0009577
phalange moyenne du second doigt petite/hypoplasique	HP:0009577
symphalangisme des phalanges proximales et moyennes de l'index	HP:0009579
symphalangisme des phalanges proximales et moyennes du 2nd doigt	HP:0009579
symphalangisme des phalanges proximales et moyennes du 2ième doigt	HP:0009579
aplasie/hypoplasie de la première phalange de l'index	HP:0009580
aplasie/hypoplasie de la première phalange du 2ième doigt	HP:0009580
aplasie/hypoplasie de la première phalange du deuxième doigt	HP:0009580
aplasie/hypoplasie de la phalange proximale du deuxième doigt	HP:0009580
aplasie/hypoplasie de la phalange proximale du 2ième doigt	HP:0009580
aplasie/hypoplasie de la phalange proximale de l'index	HP:0009580
phalange proximale de l'index large	HP:0009581
phalange proximale du 2nd doigt large	HP:0009581
phalange proximale du 2ième doigt large	HP:0009581
phalange proximale de l'index en forme de balle de fusil	HP:0009582
courbure de la phalange proximale de l'index	HP:0009583
courbure de la phalange proximale du 2nd doigt	HP:0009583
anomalies ostéolytiques de la phalange proximale de l'index	HP:0009584
anomalies ostéolytiques de la phalange proximale du 2ième doigt	HP:0009584
anomalies ostéolytiques de la phalange proximale du 2nd doigt	HP:0009584
sclérose irrégulière des phalanges proximales de l'index	HP:0009585
sclérose irrégulière des phalanges proximales du 2ème doigt	HP:0009585
sclérose irrégulière des phalanges proximales du 2nd doigt	HP:0009585
Symphalangisme affectant les phalanges proximales de l'index	HP:0009586
phalange proximale de l'index de forme triangulaire	HP:0009587
phalange proximale du 2ième doigt de forme triangulaire	HP:0009587
phalange proximale du 2nd doigt de forme triangulaire	HP:0009587
Schwannome vestibulaire	HP:0009588
Schwannome vestibulaire bilatéral	HP:0009589
Schwannome vestibulaire unilatéral	HP:0009590
Anomalie du nerf crânien VIII	HP:0009591
Anomalie du nerf crânien 8	HP:0009591
Anomalie du nerf vestibulocochléaire	HP:0009591
astrocytome	HP:0009592
schwannome périphérique	HP:0009593
Hamartomes rétiniens	HP:0009594
neurofibromes occasionnels	HP:0009595
aplasie de la première phalange de l'index	HP:0009596
aplasie de la première phalange du 2ième doigt	HP:0009596
aplasie de la phalange proximale de l'index	HP:0009596
aplasie de la phalange proximale du deuxième doigt	HP:0009596
aplasie de la phalange proximale du 2ième doigt	HP:0009596
aplasie de la première phalange du deuxième doigt	HP:0009596
phalange proximale de l'index petite/hypoplasique	HP:0009597
phalange proximale du 2ième doigt petite/hypoplasique	HP:0009597
symphalangisme de la phalange proximale de l'index avec le 2nd métacarpien	HP:0009598
symphalangisme de la phalange proximale du 2ième doigt avec le 2ième métacarpien	HP:0009598
symphalangisme de la phalange proximale du 2nd doigt avec le 2nd métacarpien	HP:0009598
anomalie des épiphyses du pouce	HP:0009599
contractures articulaires du pouce	HP:0009600
Aplasie/hypoplasie du pouce	HP:0009601
anomalie des phalanges du pouce	HP:0009602
déviation/déplacement du pouce	HP:0009603
pouce dévié	HP:0009603
polydactylie pré- et post-axiale	HP:0009605
duplication de la phalange distale du pouce	HP:0009606
duplication de la phalange proximale du pouce	HP:0009608
duplication partielle/complète du premier métacarpien	HP:0009609
duplication partielle/complète du 1er métacarpien	HP:0009609
Phalange distale bifide du pouce	HP:0009611
duplication partielle/complète de la phalange distale du pouce	HP:0009612
duplication partielle/complète de la phalange proximale du pouce	HP:0009613
Phalange proximale bifide du pouce	HP:0009614
1er métacarpien dupliqué	HP:0009615
Premier métacarpien bifide	HP:0009616
anomalie de la troisième phalange du pouce	HP:0009617
anomalie de la phalange distale du pouce	HP:0009617
anomalie de la phalange terminale du pouce	HP:0009617
anomalie de la première phalange du pouce	HP:0009618
Phalange accessoire du pouce	HP:0009619
déviation radiale du pouce	HP:0009620
déviation cubitale du pouce	HP:0009621
déviation ulnaire du pouce	HP:0009621
pouce placé distalement	HP:0009622
placement proximal du pouce	HP:0009623
contractures de l'articulation carpométacarpienne du pouce	HP:0009624
contractures de l'articulation carpo-métacarpienne du pouce	HP:0009624
contractures de l'articulation métacarpophalangienne du pouce	HP:0009625
contractures de l'articulation métacarpo-phalangienne du pouce	HP:0009625
contractures de l'articulation interphalangienne du pouce	HP:0009626
aplasie/hypoplasie de la première phalange du pouce	HP:0009629
aplasie/hypoplasie de la phalange proximale du pouce	HP:0009629
phalange proximale du pouce large	HP:0009630
phalange proximale du pouce en forme de balle de fusil	HP:0009631
courbure de la phalange proximale du pouce	HP:0009632
anomalies ostéolytiques de la phalange proximale du pouce	HP:0009633
sclérose irrégulière des phalanges proximales du pouce	HP:0009634
Symphalangisme affectant la phalange proximale du pouce	HP:0009635
phalange proximale du pouce de forme triangulaire	HP:0009636
aplasie de la première phalange du pouce	HP:0009637
aplasie de la phalange proximale du pouce	HP:0009637
phalange proximale du pouce petite/hypoplasique	HP:0009638
symphalangisme de la phalange proximale du pouce avec le 1er métacarpien	HP:0009640
aplasie/hypoplasie de la troisième phalange du pouce	HP:0009641
aplasie/hypoplasie de la phalange distale du pouce	HP:0009641
aplasie/hypoplasie de la phalange terminale du pouce	HP:0009641
Large phalange distale du pouce	HP:0009642
phalange distale du pouce en forme de balle de fusil	HP:0009643
courbure de la phalange distale du pouce	HP:0009644
anomalies ostéolytiques de la phalange distale du pouce	HP:0009645
sclérose irrégulière de la phalange distale du pouce	HP:0009646
Symphalangisme affectant la phalange distale du pouce	HP:0009647
phalange distale du pouce de forme triangulaire	HP:0009648
aplasie de la troisième phalange du pouce	HP:0009649
aplasie des phalanges distales du pouce	HP:0009649
phalange distale du pouce petite/hypoplasique	HP:0009650
phalanges du pouce larges	HP:0009651
pouce large	HP:0009651
phalange du pouce en forme de balle de fusil	HP:0009652
courbure des phalanges du pouce	HP:0009653
anomalies ostéolytiques des phalanges du pouce	HP:0009654
sclérose irrégulière des phalanges du pouce	HP:0009655
Symphalangisme du pouce	HP:0009656
phalanges du pouce de forme triangulaire	HP:0009657
aplasie/hypoplasie des phalanges du pouce	HP:0009658
aplasie des phalanges du pouce	HP:0009659
phalanges du pouce petites/hypoplasiques	HP:0009660
anomalie des épiphyses de la troisième phalange du pouce	HP:0009662
anomalie des épiphyses de la phalange distale du pouce	HP:0009662
anomalie des épiphyses de la première phalange du pouce	HP:0009663
anomalie des épiphyses de la phalange proximale du pouce	HP:0009663
Epiphyses absentes de la phalange proximale du pouce	HP:0009664
pont épiphysaire de la phalange proximale du pouce	HP:0009665
épiphyses en forme de cône de la phalange proximale du pouce	HP:0009666
épiphyse élargie de la phalange proximale du pouce	HP:0009667
